IR,PI,DD,TanDelta_20,TanDelta_100,Cap_TipUp
36.80,4.31,0.31,0.539,0.556,0.04
40.80,1.28,0.22,0.552,0.575,0.05
6.34,1.54,0.27,0.563,0.593,0.04
38.00,3.85,0.29,0.532,0.549,0.03
7.18,2.37,0.63,7.691,6.441,3.70
15.20,4.68,0.56,9.046,7.878,6.22
18.60,6.64,0.34,7.230,5.950,3.84
9.67,5.41,0.58,6.750,5.668,4.66
16.50,5.21,0.38,5.736,4.622,1.69
20.10,5.19,0.33,5.314,4.313,2.02
17.00,3.02,0.61,1.020,1.170,0.16
2.54,2.47,3.40,1.353,1.646,0.44
16.00,2.92,0.34,0.681,0.881,0.25
25.20,2.80,0.31,0.590,1.592,1.08
17.28,1.84,0.29,0.733,2.772,2.71
25.60,4.26,0.45,0.847,2.577,2.30
9.45,1.58,0.40,0.824,2.123,1.47
25.60,4.26,0.45,0.847,2.577,2.30
5.69,1.48,0.41,0.927,1.784,0.86
12.20,1.37,0.25,0.530,1.670,1.23
51.80,4.36,0.21,0.497,1.696,1.37
12.20,1.37,0.25,0.533,1.673,1.23
33.80,1.20,0.34,0.598,1.406,0.87
8.62,3.48,1.15,0.838,1.208,0.38
12.65,3.13,0.66,0.902,1.244,0.38
6.30,2.96,1.21,1.840,1.930,0.11
16.97,6.19,0.50,1.600,2.420,0.98
9.32,3.37,0.93,1.143,1.283,0.17
15.40,6.72,0.61,0.757,0.917,0.21
1.13,2.11,3.90,0.718,3.601,1.19
11.60,2.44,0.67,1.640,1.780,0.22
2.25,3.98,6.51,3.933,24.730,12.55
6.66,4.31,2.24,3.056,23.280,35.99
4.74,2.53,1.17,2.680,3.319,1.64
3.31,2.24,1.44,9.221,11.387,11.11
5.00,4.00,3.06,3.562,18.560,34.73
0.27,1.14,5.06,7.877,18.568,30.26
12.89,2.70,0.63,1.164,1.243,0.25
14.90,3.25,0.75,0.973,1.414,0.56
37.72,3.93,0.37,0.744,0.965,0.26
16.49,4.48,0.81,6.553,7.649,3.20
4.12,3.97,2.25,1.784,1.893,0.14
7.59,3.55,1.31,1.146,1.226,0.14
4.85,1.77,0.70,0.714,0.894,0.20
12.01,5.52,0.87,0.778,0.963,0.18
12.70,5.64,1.33,4.136,5.971,3.10
10.20,3.64,1.16,5.058,6.140,2.30
9.38,4.88,1.24,8.040,2.888,89.99
2.28,2.43,2.54,16.103,16.310,1.94
9.04,8.28,1.54,4.224,6.312,2.88
12.85,5.40,0.96,3.524,5.387,2.75
38.30,6.00,0.38,0.783,0.823,-0.05
18.70,4.39,0.42,1.066,1.521,0.56
7.46,1.45,0.48,1.220,1.590,0.11
11.62,2.60,0.62,1.219,1.031,0.22
4.20,4.50,3.18,2.003,2.052,0.01
5.98,4.22,2.12,1.179,1.204,-0.13
1.03,2.21,6.29,3.293,3.396,-0.04
2.82,2.93,3.03,2.101,2.168,-0.01
4.84,6.48,2.85,0.960,1.000,-0.04
3.64,4.95,2.91,2.299,2.284,0.02
11.90,5.41,1.03,10.607,11.741,71.03
2.87,2.70,2.99,9.249,12.440,4.03
1.24,2.32,5.91,9.166,13.157,12.75
4.12,2.68,2.20,7.308,11.914,14.91
0.62,1.93,5.36,8.285,11.670,11.82
3.33,3.95,2.69,6.000,10.058,12.05
1.97,1.20,1.49,4.290,8.360,12.11
16.60,4.59,0.55,0.901,0.997,0.16
6.33,2.41,1.02,1.610,1.730,0.17
12.50,4.71,0.77,2.606,1.417,0.18
9.82,4.34,0.47,0.809,1.031,0.22
8.99,4.27,1.06,0.839,1.029,0.22
10.30,4.12,0.89,1.818,1.970,0.22
10.70,1.62,1.31,1.544,1.574,-0.06
40.90,4.91,0.75,2.010,2.080,0.02
21.70,3.10,0.49,2.474,2.599,-0.01
28.10,7.70,0.64,1.088,1.146,0.09
5.59,1.37,0.74,2.896,4.798,5.54
25.70,4.67,0.53,0.779,0.826,0.05
22.60,5.74,0.69,1.001,1.042,0.11
9.29,5.15,1.30,11.350,9.840,0.97
8.69,3.69,0.50,1.547,1.660,0.13
7.45,3.94,0.56,0.831,0.868,0.05
10.80,4.83,0.95,1.075,1.835,1.00
5.42,4.40,1.04,2.810,3.070,1.88
10.30,3.24,0.52,2.746,2.665,1.97
6.86,5.46,0.92,4.453,3.873,1.79
8.52,2.61,0.71,3.837,3.624,1.72
13.40,5.88,0.45,1.940,2.200,0.59
15.10,3.00,0.36,1.516,1.793,0.67
13.40,4.12,0.42,2.243,2.442,0.63
11.70,4.70,0.47,1.909,2.167,0.57
